,,添付した画像のように、B列に行番号、C列にホテル名、D列に電話番号、E列にホテルのURLを入れてください。,,
,行番号,ホテル名 (hotel_name),D列：phone,E列：website（公式サイト・グループサイト）
,2,ホテル プラージュ,045-311-3933,https://hotel-plage.net/
,3,ホテル サラサ,045-312-5511,https://www.nissingroup.co.jp/sarasa/
,4,HOTEL Wing,092-781-5497,https://www.slp-hotels.com/wing/
,5,HOTEL SUN ROAD,092-935-7887,https://www.hayama-hotels.com/sunroad/
,6,HOTEL Belta,045-323-1132,https://www.nissingroup.co.jp/belta/
,7,HOTEL le bruno,092-573-2631,https://www.hayama-hotels.com/le-bruno/
,8,HOTEL CINDERELLA PALACE,092-581-9700,https://www.hayama-hotels.com/cinderella/
,9,ホテル おひるねラッコ 八幡,093-631-1155,https://ohirune-rakko.com/hotel/yahata/
,10,ホテル DUO-M/DUO-F,092-721-6166,http://www.hotel-duo-fm.com/
,11,HOTEL GATE BALI,046-228-2338,https://www.slp-hotels.com/gatebali/
,12,HOTEL acotte,092-521-1531,http://amuse-hotel.net/
,13,HOTEL PALM GATE,092-715-3001,https://palm-gate.com/
,14,レステイ小倉,093-521-0777,https://www.restay.jp/kokura/
,15,HOTEL VIGADO,045-322-3444,https://www.nissingroup.co.jp/vigado/
,16,HOTEL ACQUA MYU,092-883-0045,https://hotel-acqua.jp/myu/
,17,HOTEL M・Gate DREAM,092-894-2025,https://m-gate-dream.com/
,18,ホテル パティオ,092-871-6682,https://hotel-patio.com/
,19,ホテル パスポート,092-322-0188,https://hotel-passport.jp/
,20,HOTEL C. 小倉ベイ,093-967-8860,https://c-dot.jp/kokurabay/
,21,HOTEL Coco de Annex,093-571-1199,http://cocode-annex.com/
,22,HOTEL Aria,092-262-0370,https://hotel-aria.jp/
,23,HOTEL ESPO,092-605-1101,https://www.hayama-hotels.com/espo/
,24,ホテル パームゲート (中央区),092-715-3001,https://palm-gate.com/
,25,HOTEL MOJI,093-331-0802,https://www.slp-hotels.com/moji/
,26,HOTEL Luce,093-473-3511,https://hotel-luce.jp/
,27,ホテル リトルチャペルクリスマス,092-611-4767,https://www.chapel-hotel.co.jp/fukuoka/h057/
,28,ホテル ロアンヌ,092-431-1212,https://hotel-roanne.jp/
,29,凛（リン）,092-718-8300,https://hotel-rin.jp/
,30,HOTEL M・Gate DREAM,092-885-2025,https://m-gate.jp/
,31,&MAX,092-734-4531,https://and-max.jp/
,32,HOTEL PURE81,092-722-5110,https://www.hayama-hotels.com/pure81/
,33,VERT（ヴェール）,092-682-5791,https://www.hayama-hotels.com/vert/
,34,HOTEL CUBE,093-541-6500,https://hotel-cube.jp/
,35,HOTEL TiAMO,093-561-6763,https://hotel-tiamo.jp/
,36,by H-SEVEN (NUDA),045-231-1055,https://nuda-yokohama.com/
,37,LUSSO CROCE ASIAN RESORT,045-251-2422,https://lusso-croce.net/
,38,HOTEL XYZ福岡,092-741-8683,https://hotel-xyz.com/
,39,HOTEL VERT,092-682-5791,https://www.hayama-hotels.com/vert/
,40,ホテル 八重洲,045-314-1181,http://hotel-yaesu.com/
,41,HOTEL LE STYLE,045-312-3211,http://www.hotel-lestyle.com/
,42,Hotel HOKUO,045-311-6671,http://www.hotel-hokuo.com/
,43,HOTEL Maiami,045-311-7388,http://www.hotel-maiami.com/
,44,HOTEL RIVIERA,045-311-5363,https://www.riviera-group.jp/yokohama/
,45,ホテル 拾番館,045-241-1153,http://nibankangroup.jp/jyuubankan/
,46,HOTEL Green,0942-77-2831,https://hotel-green.jp/
,47,ホテル GAO5,093-883-0100,https://hotel-gao.jp/gao5/
,48,HOTEL VIGADO,045-322-3444,https://www.nissingroup.co.jp/vigado/
,49,NUDA by H-SEVEN,045-231-1055,https://nuda-yokohama.com/
,50,ホテル 拾番館,045-241-1153,http://nibankangroup.jp/jyuubankan/
,51,ホテル サラサ (北幸),045-312-5511,https://www.nissingroup.co.jp/sarasa/
,52,HOTEL CINDERELLA PALACE,092-581-9700,https://www.hayama-hotels.com/cinderella/
,53,HOTEL SUN ROAD,092-935-7887,https://www.hayama-hotels.com/sunroad/
,54,HOTEL le bruno,092-573-2631,https://www.hayama-hotels.com/le-bruno/
,55,ホテル おひるねラッコ 八幡,093-631-1155,https://ohirune-rakko.com/hotel/yahata/
,56,HOTEL acotte,092-521-1531,http://amuse-hotel.net/
,57,HOTEL ACQUA MYU,092-883-0045,https://hotel-acqua.jp/myu/
,58,HOTEL M・Gate DREAM,092-894-2025,https://m-gate-dream.com/
,59,HOTEL Aria,092-262-0370,https://hotel-aria.jp/
,60,HOTEL ESPO,092-605-1101,https://www.hayama-hotels.com/espo/
,61,凛（リン）,092-718-8300,https://hotel-rin.jp/
,62,&MAX,092-734-4531,https://and-max.jp/
